49 71
67 81
49 82
68 78
14 56
69 82
52 71
58 82
56 66
52 56
57 72
51 63
9 66
25 33
10 14
39 58
86 88
2 13
9 51
8 76
32 51
32 89
3 23
34 40
42 50
39 42
53 57
4 72
16 33
55 79
18 46
3 79
64 86
27 37
29 37
28 40
36 89
36 80
3 73
27 80
7 44
17 38
20 77
62 83
0 16
4 84
54 75
21 61
21 29
17 26
40 50
1 77
35 59
13 65
61 68
18 20
11 60
29 46
44 88
43 54
19 72
15 20
28 81
31 50
30 74
1 35
25 59
38 45
41 65
34 85
35 73
0 30
12 41
7 19
5 80
48 85
5 24
75 84
0 43
2 22
64 70
28 87
26 78
77 83
8 60
2 17
6 24
6 60
47 86
